# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.0395385 0.0078125
38 2.25 0.149832 0.0390625
39 2.31 0.42645 0.132812
40 2.37 0.844025 0.328125
41 2.43 0.834976 0.53125
42 2.49 1.10108 0.8125
43 2.55 1.60397 1.24219
44 2.61 1.89297 1.77344
45 2.67 2.42067 2.48438
46 2.73 2.31544 3.19531
47 2.79 2.29001 3.92969
48 2.85 2.82498 4.875
49 2.91 2.19462 5.64062
50 2.97 1.84887 6.3125
51 3.03 1.87965 7.02344
52 3.09 1.76764 7.71875
53 3.15 1.54805 8.35156
54 3.21 1.61955 9.03906
55 3.27 1.18823 9.5625
56 3.33 1.02609 10.0312
57 3.39 1.20461 10.6016
58 3.45 0.98782 11.0859
59 3.51 0.938945 11.5625
60 3.57 0.61006 11.8828
61 3.63 0.561276 12.1875
62 3.69 0.61281 12.5312
63 3.75 0.498959 12.8203
64 3.81 0.378856 13.0469
65 3.87 0.443172 13.3203
66 3.93 0.442022 13.6016
67 3.99 0.381181 13.8516
68 4.05 0.589641 14.25
69 4.11 0.684816 14.7266
70 4.17 0.567099 15.1328
71 4.23 0.529928 15.5234
72 4.29 0.618251 15.9922
73 4.35 0.851861 16.6562
74 4.41 0.83859 17.3281
75 4.47 0.939613 18.1016
76 4.53 0.896405 18.8594
77 4.59 0.972137 19.7031
78 4.65 0.973523 20.5703
79 4.71 1.23098 21.6953
80 4.77 1.22521 22.8438
81 4.83 1.17057 23.9688
82 4.89 1.26891 25.2188
83 4.95 1.16868 26.3984
84 5.01 1.20886 27.6484
85 5.07 1.09188 28.8047
86 5.13 1.35473 30.2734
87 5.19 1.21798 31.625
88 5.25 1.23847 33.0312
89 5.31 1.25099 34.4844
90 5.37 1.31526 36.0469
91 5.43 1.26706 37.5859
92 5.49 1.15143 39.0156
93 5.55 1.16976 40.5
94 5.61 1.13885 41.9766
95 5.67 0.9969 43.2969
96 5.73 1.06277 44.7344
97 5.79 1.04652 46.1797
98 5.85 1.02516 47.625
99 5.91 0.885002 48.8984
100 5.97 0.957757 50.3047
1800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
