# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.035123 0.0078125
38 2.25 0.232924 0.0625
39 2.31 0.694515 0.234375
40 2.37 1.07967 0.515625
41 2.43 1.4264 0.90625
42 2.49 1.84755 1.4375
43 2.55 2.09842 2.07031
44 2.61 2.34926 2.8125
45 2.67 2.9774 3.79688
46 2.73 2.53153 4.67188
47 2.79 2.44546 5.55469
48 2.85 2.55098 6.51562
49 2.91 1.92965 7.27344
50 2.97 2.10074 8.13281
51 3.03 1.68809 8.85156
52 3.09 1.04095 9.3125
53 3.15 1.0526 9.79688
54 3.21 0.752043 10.1562
55 3.27 0.961014 10.6328
56 3.33 0.850737 11.0703
57 3.39 0.513056 11.3438
58 3.45 0.594439 11.6719
59 3.51 0.628985 12.0312
60 3.57 0.343664 12.2344
61 3.63 0.511381 12.5469
62 3.69 0.494886 12.8594
63 3.75 0.383341 13.1094
64 3.81 0.440993 13.4062
65 3.87 0.51741 13.7656
66 3.93 0.578082 14.1797
67 3.99 0.740716 14.7266
68 4.05 0.68812 15.25
69 4.11 0.71804 15.8125
70 4.17 0.833156 16.4844
71 4.23 0.969743 17.2891
72 4.29 0.823812 17.9922
73 4.35 0.961492 18.8359
74 4.41 0.883535 19.6328
75 4.47 1.0033 20.5625
76 4.53 1.15751 21.6641
77 4.59 1.15943 22.7969
78 4.65 1.14528 23.9453
79 4.71 1.26057 25.2422
80 4.77 1.36974 26.6875
